tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,note,velocity,control,value
4736,note_off,,,,,27,0,0,,,0,67,64,,
4758,note_off,,,,,22,0,0,,,0,70,64,,
4771,note_off,,,,,13,0,0,,,0,76,64,,
4808,note_on,,,,,37,0,0,,,0,41,108,,
4808,note_on,,,,,0,0,0,,,0,77,112,,
4809,note_on,,,,,1,0,0,,,0,29,105,,
4811,note_on,,,,,2,0,0,,,0,69,95,,
4812,note_on,,,,,1,0,0,,,0,72,98,,
4825,note_off,,,,,13,0,0,,,0,29,64,,
4842,note_off,,,,,17,0,0,,,0,69,64,,
4845,note_off,,,,,3,0,0,,,0,41,64,,
4860,note_off,,,,,15,0,0,,,0,72,64,,
4867,control_change,,,,,7,0,0,,,0,,,64,127
4901,note_on,,,,,34,0,0,,,0,72,64,,
4906,note_on,,,,,5,0,0,,,0,65,73,,
4916,note_on,,,,,10,0,0,,,0,69,43,,
4953,note_off,,,,,37,0,0,,,0,69,64,,
4957,note_off,,,,,4,0,0,,,0,65,64,,
4980,note_off,,,,,23,0,0,,,0,72,64,,
4985,note_on,,,,,5,0,0,,,0,57,79,,
4989,note_on,,,,,4,0,0,,,0,48,68,,
4990,note_on,,,,,1,0,0,,,0,53,99,,
5013,note_off,,,,,23,0,0,,,0,53,64,,
5035,note_off,,,,,22,0,0,,,0,57,64,,
5047,note_off,,,,,12,0,0,,,0,48,64,,
5071,note_on,,,,,24,0,0,,,0,60,101,,
5071,note_on,,,,,0,0,0,,,0,57,64,,
5079,note_on,,,,,8,0,0,,,0,53,103,,
5086,note_off,,,,,7,0,0,,,0,77,64,,
5115,note_off,,,,,29,0,0,,,0,53,64,,
5121,note_off,,,,,6,0,0,,,0,60,64,,
5124,note_off,,,,,3,0,0,,,0,57,64,,
5165,note_on,,,,,41,0,0,,,0,72,99,,
5166,note_on,,,,,1,0,0,,,0,65,103,,
5169,note_on,,,,,3,0,0,,,0,69,84,,
5244,note_off,,,,,75,0,0,,,0,72,64,,
5245,note_off,,,,,1,0,0,,,0,65,64,,
5249,note_off,,,,,4,0,0,,,0,69,64,,
5351,note_on,,,,,102,0,0,,,0,75,92,,
5351,note_on,,,,,0,0,0,,,0,67,93,,
5356,note_on,,,,,5,0,0,,,0,71,92,,
5357,note_on,,,,,1,0,0,,,0,31,98,,
5360,note_on,,,,,3,0,0,,,0,43,79,,
5378,note_off,,,,,18,0,0,,,0,31,64,,
5388,note_off,,,,,10,0,0,,,0,71,64,,
5389,control_change,,,,,1,0,0,,,0,,,64,0
5399,note_off,,,,,10,0,0,,,0,43,64,,
5410,note_off,,,,,11,0,0,,,0,67,64,,
5419,note_off,,,,,9,0,0,,,0,75,64,,
5437,note_on,,,,,18,0,0,,,0,74,97,,
5439,note_on,,,,,2,0,0,,,0,65,94,,
5440,note_on,,,,,1,0,0,,,0,71,82,,
5482,note_off,,,,,42,0,0,,,0,74,64,,
5490,note_off,,,,,8,0,0,,,0,65,64,,
5512,note_off,,,,,22,0,0,,,0,71,64,,
5527,note_on,,,,,15,0,0,,,0,75,100,,
5532,note_on,,,,,5,0,0,,,0,72,86,,
5535,note_on,,,,,3,0,0,,,0,67,92,,
5535,note_on,,,,,0,0,0,,,0,48,98,,
5538,note_on,,,,,3,0,0,,,0,36,100,,
5561,note_off,,,,,23,0,0,,,0,36,64,,
5582,note_off,,,,,21,0,0,,,0,72,64,,
5586,note_off,,,,,4,0,0,,,0,48,64,,
5586,note_off,,,,,0,0,0,,,0,67,64,,
5589,control_change,,,,,3,0,0,,,0,,,64,127
5616,note_on,,,,,27,0,0,,,0,72,73,,
5619,note_on,,,,,3,0,0,,,0,67,69,,
5621,note_on,,,,,2,0,0,,,0,63,81,,
5667,note_off,,,,,46,0,0,,,0,67,64,,
5670,note_off,,,,,3,0,0,,,0,63,64,,
5683,note_off,,,,,13,0,0,,,0,75,64,,
5690,note_off,,,,,7,0,0,,,0,72,64,,
5709,note_on,,,,,19,0,0,,,0,55,86,,
5714,note_on,,,,,5,0,0,,,0,51,82,,
5738,note_off,,,,,24,0,0,,,0,55,64,,
5760,note_off,,,,,22,0,0,,,0,51,64,,
5790,note_on,,,,,30,0,0,,,0,63,88,,
