tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,note,velocity,channel,control,value
11322,note_on,,,,,1,0,0,,69,84,0,,
11322,note_on,,,,,0,0,0,,26,104,0,,
11323,note_on,,,,,1,0,0,,38,103,0,,
11326,control_change,,,,,3,0,0,,,,0,64,127
11347,note_on,,,,,21,0,0,,72,19,0,,
11381,note_off,,,,,34,0,0,,72,64,0,,
11418,control_change,,,,,37,0,0,,,,0,64,0
11587,control_change,,,,,169,0,0,,,,0,64,127
11599,note_off,,,,,12,0,0,,26,64,0,,
11612,note_off,,,,,13,0,0,,78,64,0,,
11613,note_off,,,,,1,0,0,,74,64,0,,
11624,note_off,,,,,11,0,0,,38,64,0,,
11625,note_off,,,,,1,0,0,,69,64,0,,
11643,note_off,,,,,18,0,0,,66,64,0,,
11731,note_on,,,,,88,0,0,,74,91,0,,
11732,note_on,,,,,1,0,0,,62,80,0,,
11733,note_on,,,,,1,0,0,,69,74,0,,
11759,note_off,,,,,26,0,0,,74,64,0,,
11761,note_off,,,,,2,0,0,,62,64,0,,
11768,note_off,,,,,7,0,0,,69,64,0,,
11803,note_on,,,,,35,0,0,,43,93,0,,
11803,note_on,,,,,0,0,0,,31,94,0,,
11809,note_on,,,,,6,0,0,,70,82,0,,
11809,note_on,,,,,0,0,0,,62,82,0,,
11809,note_on,,,,,0,0,0,,67,79,0,,
11820,note_off,,,,,11,0,0,,31,64,0,,
11822,note_off,,,,,2,0,0,,43,64,0,,
11854,note_off,,,,,32,0,0,,62,64,0,,
11855,note_off,,,,,1,0,0,,67,64,0,,
11870,note_off,,,,,15,0,0,,70,64,0,,
11871,control_change,,,,,1,0,0,,,,0,64,0
11883,note_on,,,,,12,0,0,,46,90,0,,
11884,note_on,,,,,1,0,0,,34,87,0,,
11914,note_off,,,,,30,0,0,,34,64,0,,
11940,note_off,,,,,26,0,0,,46,64,0,,
11961,note_on,,,,,21,0,0,,67,87,0,,
11962,note_on,,,,,1,0,0,,62,81,0,,
11986,note_off,,,,,24,0,0,,62,64,0,,
11995,note_off,,,,,9,0,0,,67,64,0,,
12040,note_on,,,,,45,0,0,,50,95,0,,
12040,note_on,,,,,0,0,0,,66,76,0,,
12041,note_on,,,,,1,0,0,,38,83,0,,
12041,note_on,,,,,0,0,0,,62,71,0,,
12058,note_off,,,,,17,0,0,,50,64,0,,
12059,note_off,,,,,1,0,0,,38,64,0,,
12066,note_off,,,,,7,0,0,,62,64,0,,
12094,control_change,,,,,28,0,0,,,,0,64,127
12104,note_off,,,,,10,0,0,,66,64,0,,
12114,note_on,,,,,10,0,0,,54,95,0,,
12119,note_on,,,,,5,0,0,,42,75,0,,
12124,control_change,,,,,5,0,0,,,,0,64,0
12138,note_off,,,,,14,0,0,,54,64,0,,
12141,note_off,,,,,3,0,0,,42,64,0,,
12177,note_on,,,,,36,0,0,,69,86,0,,
12179,note_on,,,,,2,0,0,,74,94,0,,
12179,note_on,,,,,0,0,0,,62,97,0,,
12207,note_off,,,,,28,0,0,,62,64,0,,
12210,note_off,,,,,3,0,0,,74,64,0,,
12232,note_off,,,,,22,0,0,,69,64,0,,
12257,note_on,,,,,25,0,0,,43,96,0,,
12257,note_on,,,,,0,0,0,,55,97,0,,
12258,note_on,,,,,1,0,0,,62,95,0,,
12258,note_on,,,,,0,0,0,,67,88,0,,
12258,note_on,,,,,0,0,0,,70,86,0,,
12273,note_off,,,,,15,0,0,,43,64,0,,
12279,note_off,,,,,6,0,0,,55,64,0,,
12310,note_off,,,,,31,0,0,,62,64,0,,
12316,note_off,,,,,6,0,0,,67,64,0,,
12324,note_off,,,,,8,0,0,,70,64,0,,
12324,control_change,,,,,0,0,0,,,,0,64,127
12330,note_on,,,,,6,0,0,,58,88,0,,
12332,note_on,,,,,2,0,0,,46,89,0,,
12355,control_change,,,,,23,0,0,,,,0,64,0
12362,note_off,,,,,7,0,0,,46,64,0,,
12375,note_off,,,,,13,0,0,,58,64,0,,
12408,note_on,,,,,33,0,0,,67,85,0,,
12410,note_on,,,,,2,0,0,,62,80,0,,
12433,note_off,,,,,23,0,0,,62,64,0,,
12447,note_off,,,,,14,0,0,,67,64,0,,
12480,note_on,,,,,33,0,0,,50,99,0,,
12481,note_on,,,,,1,0,0,,62,83,0,,
12485,note_on,,,,,4,0,0,,66,83,0,,
12496,note_off,,,,,11,0,0,,50,64,0,,
12532,note_off,,,,,36,0,0,,62,64,0,,
12540,control_change,,,,,8,0,0,,,,0,64,127
12561,note_on,,,,,21,0,0,,38,98,0,,
12564,note_on,,,,,3,0,0,,50,78,0,,
12565,note_off,,,,,1,0,0,,66,64,0,,
12575,note_off,,,,,10,0,0,,38,64,0,,
12585,note_off,,,,,10,0,0,,50,64,0,,
12601,control_change,,,,,16,0,0,,,,0,64,0
12621,note_on,,,,,20,0,0,,69,79,0,,
12622,note_on,,,,,1,0,0,,62,95,0,,
12625,note_on,,,,,3,0,0,,74,87,0,,
12649,note_off,,,,,24,0,0,,74,64,0,,
12653,note_off,,,,,4,0,0,,62,64,0,,
12676,note_off,,,,,23,0,0,,69,64,0,,
12700,note_on,,,,,24,0,0,,62,98,0,,
12702,note_on,,,,,2,0,0,,55,87,0,,
12703,note_on,,,,,1,0,0,,70,86,0,,
12704,note_on,,,,,1,0,0,,43,83,0,,
12704,note_on,,,,,0,0,0,,67,85,0,,
12719,note_off,,,,,15,0,0,,55,64,0,,
12724,note_off,,,,,5,0,0,,67,64,0,,
12724,note_off,,,,,0,0,0,,70,64,0,,
12729,note_off,,,,,5,0,0,,43,64,0,,
12739,control_change,,,,,10,0,0,,,,0,64,127
12751,note_off,,,,,12,0,0,,62,64,0,,
12790,note_on,,,,,39,0,0,,43,81,0,,
12791,note_on,,,,,1,0,0,,31,85,0,,
12810,note_off,,,,,19,0,0,,31,64,0,,
12810,note_off,,,,,0,0,0,,43,64,0,,
12860,note_on,,,,,50,0,0,,58,76,0,,
12860,note_on,,,,,0,0,0,,67,91,0,,
12861,control_change,,,,,1,0,0,,,,0,64,0
12869,note_on,,,,,8,0,0,,62,83,0,,
12890,note_off,,,,,21,0,0,,62,64,0,,
12906,note_off,,,,,16,0,0,,58,64,0,,
12907,note_off,,,,,1,0,0,,67,64,0,,
12953,note_on,,,,,46,0,0,,57,94,0,,
12955,note_on,,,,,2,0,0,,66,94,0,,
12955,note_on,,,,,0,0,0,,45,92,0,,
12958,note_on,,,,,3,0,0,,54,109,0,,
12962,note_on,,,,,4,0,0,,62,97,0,,
12973,note_off,,,,,11,0,0,,57,64,0,,
13002,control_change,,,,,29,0,0,,,,0,64,127
13008,note_off,,,,,6,0,0,,45,64,0,,
13057,note_on,,,,,49,0,0,,45,71,0,,
13061,note_on,,,,,4,0,0,,33,91,0,,
13077,note_off,,,,,16,0,0,,45,64,0,,
13079,note_off,,,,,2,0,0,,33,64,0,,
13149,note_off,,,,,70,0,0,,54,64,0,,
13177,note_off,,,,,28,0,0,,66,64,0,,
13246,note_on,,,,,69,0,0,,65,95,0,,
13247,note_on,,,,,1,0,0,,56,90,0,,
13252,note_on,,,,,5,0,0,,38,94,0,,
13253,note_on,,,,,1,0,0,,59,89,0,,
13255,note_on,,,,,2,0,0,,50,91,0,,
13275,note_off,,,,,20,0,0,,50,64,0,,
13276,note_off,,,,,1,0,0,,62,64,0,,
13304,note_off,,,,,28,0,0,,38,64,0,,
13385,control_change,,,,,81,0,0,,,,0,64,0
13386,note_on,,,,,1,0,0,,38,97,0,,
13388,note_on,,,,,2,0,0,,26,98,0,,
13484,note_off,,,,,96,0,0,,26,64,0,,
13485,control_change,,,,,1,0,0,,,,0,64,127
13493,note_off,,,,,8,0,0,,38,64,0,,
13521,note_off,,,,,28,0,0,,65,64,0,,
13521,note_off,,,,,0,0,0,,59,64,0,,
13547,note_off,,,,,26,0,0,,56,64,0,,
13649,note_on,,,,,102,0,0,,61,93,0,,
13650,note_on,,,,,1,0,0,,64,105,0,,
13650,note_on,,,,,0,0,0,,45,91,0,,
13651,note_on,,,,,1,0,0,,52,105,0,,
13653,note_on,,,,,2,0,0,,33,96,0,,
13676,control_change,,,,,23,0,0,,,,0,64,0
13755,note_off,,,,,79,0,0,,45,64,0,,
13784,control_change,,,,,29,0,0,,,,0,64,127
13786,note_off,,,,,2,0,0,,33,64,0,,
13874,note_on,,,,,88,0,0,,33,100,0,,
13874,note_on,,,,,0,0,0,,21,99,0,,
14124,note_off,,,,,250,0,0,,33,64,0,,
14350,note_off,,,,,226,0,0,,21,64,0,,
14511,note_off,,,,,161,0,0,,52,64,0,,
14702,note_off,,,,,191,0,0,,64,64,0,,
14735,note_off,,,,,33,0,0,,61,64,0,,
15473,note_on,,,,,738,0,0,,81,60,0,,
15474,control_change,,,,,1,0,0,,,,0,64,0
15479,note_on,,,,,5,0,0,,69,29,0,,
15606,note_off,,,,,127,0,0,,69,64,0,,
15613,control_change,,,,,7,0,0,,,,0,64,127
