tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
18720,note_on,480,0,2,,,,,,,,,,,,,,,0,,,53,0
18720,note_on,0,0,2,,,,,,,,,,,,,,,0,,,63,0
18727,control_change,7,0,2,,,,,,,,,,,,,,,0,64,0,,
18760,set_tempo,280,1,0,,,,,,,,,,,,400000,,,,,,,
18861,control_change,134,0,2,,,,,,,,,,,,,,,0,64,127,,
18960,note_on,240,0,1,,,,,,,,,,,,,,,0,,,70,0
18960,note_on,99,0,2,,,,,,,,,,,,,,,0,,,46,0
19080,note_on,120,0,1,,,,,,,,,,,,,,,0,,,72,66
19200,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,52
19200,note_on,0,0,1,,,,,,,,,,,,,,,0,,,74,70
19200,note_on,120,0,1,,,,,,,,,,,,,,,0,,,72,0
19200,note_on,240,0,2,,,,,,,,,,,,,,,0,,,62,52
19200,note_on,0,0,2,,,,,,,,,,,,,,,0,,,53,52
19680,note_on,0,0,2,,,,,,,,,,,,,,,0,,,46,62
19680,note_on,0,0,2,,,,,,,,,,,,,,,0,,,62,0
19680,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,0
19680,note_on,0,0,1,,,,,,,,,,,,,,,0,,,75,75
19680,note_on,480,0,1,,,,,,,,,,,,,,,0,,,74,0
19680,note_on,480,0,2,,,,,,,,,,,,,,,0,,,53,0
19920,note_on,240,0,1,,,,,,,,,,,,,,,0,,,75,0
19920,note_on,240,0,2,,,,,,,,,,,,,,,0,,,46,0
19920,set_tempo,1160,1,0,,,,,,,,,,,,419580,,,,,,,
19920,note_on,0,0,1,,,,,,,,,,,,,,,0,,,77,79
20160,set_tempo,240,1,0,,,,,,,,,,,,406780,,,,,,,
20160,note_on,240,0,1,,,,,,,,,,,,,,,0,,,77,0
20160,control_change,240,0,2,,,,,,,,,,,,,,,0,64,0,,
20160,note_on,0,0,2,,,,,,,,,,,,,,,0,,,39,68
20160,note_on,0,0,2,,,,,,,,,,,,,,,0,,,51,80
20160,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,83
20238,control_change,78,0,2,,,,,,,,,,,,,,,0,64,127,,
20280,note_on,120,0,1,,,,,,,,,,,,,,,0,,,79,0
20520,note_on,240,0,1,,,,,,,,,,,,,,,0,,,81,75
20520,set_tempo,360,1,0,,,,,,,,,,,,459770,,,,,,,
20550,note_on,312,0,2,,,,,,,,,,,,,,,0,,,51,0
20550,note_on,0,0,2,,,,,,,,,,,,,,,0,,,55,59
20550,note_on,0,0,2,,,,,,,,,,,,,,,0,,,39,0
20580,note_on,30,0,2,,,,,,,,,,,,,,,0,,,58,59
20610,note_on,30,0,2,,,,,,,,,,,,,,,0,,,63,59
20640,set_tempo,120,1,0,,,,,,,,,,,,421053,,,,,,,
20640,note_on,0,0,1,,,,,,,,,,,,,,,0,,,82,76
20640,note_on,120,0,1,,,,,,,,,,,,,,,0,,,81,0
20640,note_on,30,0,2,,,,,,,,,,,,,,,0,,,67,70
20680,set_tempo,40,1,0,,,,,,,,,,,,419580,,,,,,,
20700,note_on,0,0,1,,,,,,,,,,,,,,,0,,,84,67
20700,note_on,60,0,1,,,,,,,,,,,,,,,0,,,82,0
20720,set_tempo,40,1,0,,,,,,,,,,,,416667,,,,,,,
20760,note_on,60,0,1,,,,,,,,,,,,,,,0,,,84,0
20760,note_on,0,0,1,,,,,,,,,,,,,,,0,,,82,73
20760,set_tempo,40,1,0,,,,,,,,,,,,413793,,,,,,,
20800,set_tempo,40,1,0,,,,,,,,,,,,410959,,,,,,,
20820,note_on,60,0,1,,,,,,,,,,,,,,,0,,,82,0
20820,note_on,0,0,1,,,,,,,,,,,,,,,0,,,84,66
20880,note_on,0,0,1,,,,,,,,,,,,,,,0,,,82,70
20880,note_on,60,0,1,,,,,,,,,,,,,,,0,,,84,0
20940,note_on,60,0,1,,,,,,,,,,,,,,,0,,,82,0
20940,note_on,0,0,1,,,,,,,,,,,,,,,0,,,84,64
21000,note_on,0,0,1,,,,,,,,,,,,,,,0,,,82,70
21000,note_on,60,0,1,,,,,,,,,,,,,,,0,,,84,0
21060,note_on,60,0,1,,,,,,,,,,,,,,,0,,,82,0
21060,note_on,0,0,1,,,,,,,,,,,,,,,0,,,84,64
21120,note_on,0,0,1,,,,,,,,,,,,,,,0,,,81,70
21120,note_on,60,0,1,,,,,,,,,,,,,,,0,,,84,0
21120,note_on,480,0,2,,,,,,,,,,,,,,,0,,,67,0
21120,note_on,0,0,2,,,,,,,,,,,,,,,0,,,63,0
21120,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,0
21120,note_on,0,0,2,,,,,,,,,,,,,,,0,,,55,0
21120,set_tempo,320,1,0,,,,,,,,,,,,412371,,,,,,,
21152,control_change,32,0,2,,,,,,,,,,,,,,,0,64,0,,
21160,set_tempo,40,1,0,,,,,,,,,,,,413793,,,,,,,
21240,set_tempo,80,1,0,,,,,,,,,,,,415225,,,,,,,
21320,set_tempo,80,1,0,,,,,,,,,,,,416667,,,,,,,
21360,note_on,240,0,1,,,,,,,,,,,,,,,0,,,81,0
21360,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,56
21360,set_tempo,40,1,0,,,,,,,,,,,,508475,,,,,,,
21540,note_on,0,0,1,,,,,,,,,,,,,,,0,,,77,50
21540,note_on,180,0,1,,,,,,,,,,,,,,,0,,,79,0
21560,set_tempo,200,1,0,,,,,,,,,,,,422535,,,,,,,
21600,set_tempo,40,1,0,,,,,,,,,,,,456274,,,,,,,
21600,note_on,448,0,2,,,,,,,,,,,,,,,0,,,46,51
21600,note_on,0,0,1,,,,,,,,,,,,,,,0,,,82,58
21600,note_on,60,0,1,,,,,,,,,,,,,,,0,,,77,0
21618,control_change,18,0,2,,,,,,,,,,,,,,,0,64,127,,
21720,note_on,120,0,1,,,,,,,,,,,,,,,0,,,82,0
21840,note_on,222,0,2,,,,,,,,,,,,,,,0,,,46,0
21960,set_tempo,360,1,0,,,,,,,,,,,,371517,,,,,,,
21960,note_on,240,0,1,,,,,,,,,,,,,,,0,,,82,53
21980,set_tempo,20,1,0,,,,,,,,,,,,357143,,,,,,,
22080,set_tempo,100,1,0,,,,,,,,,,,,421053,,,,,,,
22080,note_on,0,0,1,,,,,,,,,,,,,,,0,,,74,48
22080,note_on,120,0,1,,,,,,,,,,,,,,,0,,,82,0
22080,note_on,0,0,2,,,,,,,,,,,,,,,0,,,53,28
22080,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,28
22080,note_on,240,0,2,,,,,,,,,,,,,,,0,,,62,33
22560,note_on,0,0,2,,,,,,,,,,,,,,,0,,,62,0
22560,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,0
22560,note_on,480,0,2,,,,,,,,,,,,,,,0,,,53,0
22560,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,26
22560,note_on,0,0,2,,,,,,,,,,,,,,,0,,,53,26
22560,note_on,0,0,2,,,,,,,,,,,,,,,0,,,62,31
22560,set_tempo,480,1,0,,,,,,,,,,,,419580,,,,,,,
22920,set_tempo,360,1,0,,,,,,,,,,,,413793,,,,,,,
22980,note_on,900,0,1,,,,,,,,,,,,,,,0,,,74,0
22980,note_on,0,0,1,,,,,,,,,,,,,,,0,,,75,49
23040,note_on,480,0,2,,,,,,,,,,,,,,,0,,,53,0
23040,note_on,0,0,2,,,,,,,,,,,,,,,0,,,58,0
23040,note_on,0,0,2,,,,,,,,,,,,,,,0,,,62,0
23040,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,56
23040,note_on,60,0,1,,,,,,,,,,,,,,,0,,,75,0
23040,set_tempo,120,1,0,,,,,,,,,,,,436364,,,,,,,
23040,note_on,0,0,2,,,,,,,,,,,,,,,0,,,41,48
23061,control_change,21,0,2,,,,,,,,,,,,,,,0,64,0,,
23086,control_change,25,0,2,,,,,,,,,,,,,,,0,64,127,,
23160,note_on,120,0,1,,,,,,,,,,,,,,,0,,,79,0
23280,note_on,194,0,2,,,,,,,,,,,,,,,0,,,41,0
23400,note_on,240,0,1,,,,,,,,,,,,,,,0,,,79,50
23440,set_tempo,400,1,0,,,,,,,,,,,,371517,,,,,,,
23520,note_on,120,0,1,,,,,,,,,,,,,,,0,,,79,0
23520,note_on,240,0,2,,,,,,,,,,,,,,,0,,,63,32
23520,note_on,0,0,2,,,,,,,,,,,,,,,0,,,53,27
23520,note_on,0,0,2,,,,,,,,,,,,,,,0,,,60,27
23520,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,48
23560,set_tempo,120,1,0,,,,,,,,,,,,424028,,,,,,,
24000,note_on,0,0,2,,,,,,,,,,,,,,,0,,,53,25
24000,note_on,0,0,2,,,,,,,,,,,,,,,0,,,63,0
24000,note_on,0,0,2,,,,,,,,,,,,,,,0,,,60,0
24000,note_on,480,0,2,,,,,,,,,,,,,,,0,,,53,0
24000,note_on,0,0,2,,,,,,,,,,,,,,,0,,,60,25
24000,note_on,0,0,2,,,,,,,,,,,,,,,0,,,63,30
24000,set_tempo,440,1,0,,,,,,,,,,,,421053,,,,,,,
24240,set_tempo,240,1,0,,,,,,,,,,,,442804,,,,,,,
24400,set_tempo,160,1,0,,,,,,,,,,,,413793,,,,,,,
24420,note_on,0,0,1,,,,,,,,,,,,,,,0,,,70,49
24420,note_on,900,0,1,,,,,,,,,,,,,,,0,,,69,0
