tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,note,velocity,channel
24480,note_on,0,0,1,,,,,,,,,,,,60,64,0
24720,note_off,240,0,1,,,,,,,,,,,,60,64,0
24720,note_on,0,0,1,,,,,,,,,,,,59,64,0
24960,note_off,240,0,1,,,,,,,,,,,,59,64,0
24960,note_on,0,0,1,,,,,,,,,,,,60,64,0
25440,note_on,25440,0,2,,,,,,,,,,,,50,64,0
25440,note_off,480,0,1,,,,,,,,,,,,60,64,0
25440,note_on,0,0,1,,,,,,,,,,,,62,64,0
25680,note_on,0,0,2,,,,,,,,,,,,48,64,0
25680,note_off,240,0,2,,,,,,,,,,,,50,64,0
25920,note_off,240,0,2,,,,,,,,,,,,48,64,0
25920,note_on,0,0,2,,,,,,,,,,,,47,64,0
25920,note_off,480,0,1,,,,,,,,,,,,62,64,0
25920,note_on,0,0,1,,,,,,,,,,,,55,64,0
26400,note_on,0,0,2,,,,,,,,,,,,46,64,0
26400,note_off,480,0,2,,,,,,,,,,,,47,64,0
26880,note_off,480,0,2,,,,,,,,,,,,46,64,0
26880,note_on,0,0,2,,,,,,,,,,,,45,64,0
26880,note_off,960,0,1,,,,,,,,,,,,55,64,0
26880,note_on,0,0,1,,,,,,,,,,,,54,64,0
27360,note_off,480,0,2,,,,,,,,,,,,45,64,0
27360,note_on,0,0,2,,,,,,,,,,,,44,64,0
27840,note_off,960,0,1,,,,,,,,,,,,54,64,0
27840,note_off,480,0,2,,,,,,,,,,,,44,64,0
27840,note_on,0,0,2,,,,,,,,,,,,43,64,0
28080,note_on,240,0,1,,,,,,,,,,,,51,64,0
28320,note_off,240,0,1,,,,,,,,,,,,51,64,0
28320,note_on,0,0,1,,,,,,,,,,,,54,64,0
28560,note_on,0,0,1,,,,,,,,,,,,55,64,0
28560,note_off,240,0,1,,,,,,,,,,,,54,64,0
28800,note_on,0,0,2,,,,,,,,,,,,42,64,0
28800,note_off,960,0,2,,,,,,,,,,,,43,64,0
28800,note_off,240,0,1,,,,,,,,,,,,55,64,0
29040,note_on,240,0,1,,,,,,,,,,,,57,64,0
29280,note_on,0,0,1,,,,,,,,,,,,59,64,0
29280,note_off,240,0,1,,,,,,,,,,,,57,64,0
29520,note_off,240,0,1,,,,,,,,,,,,59,64,0
29520,note_on,0,0,1,,,,,,,,,,,,60,64,0
29760,note_off,960,0,2,,,,,,,,,,,,42,64,0
29760,note_off,240,0,1,,,,,,,,,,,,60,64,0
29760,note_on,0,0,2,,,,,,,,,,,,51,64,0
30000,note_on,240,0,1,,,,,,,,,,,,59,64,0
30240,note_off,240,0,1,,,,,,,,,,,,59,64,0
30240,note_on,0,0,1,,,,,,,,,,,,60,64,0
30480,note_on,0,0,1,,,,,,,,,,,,62,64,0
30480,note_off,240,0,1,,,,,,,,,,,,60,64,0
30720,note_off,960,0,2,,,,,,,,,,,,51,64,0
30720,note_off,240,0,1,,,,,,,,,,,,62,64,0
30720,note_on,0,0,1,,,,,,,,,,,,63,64,0
31200,note_off,480,0,1,,,,,,,,,,,,63,64,0
31200,note_on,0,0,1,,,,,,,,,,,,64,64,0
31200,note_on,480,0,2,,,,,,,,,,,,43,64,0
31680,note_on,0,0,2,,,,,,,,,,,,44,64,0
31680,note_off,480,0,2,,,,,,,,,,,,43,64,0
31680,note_on,0,0,1,,,,,,,,,,,,65,64,0
31680,note_off,480,0,1,,,,,,,,,,,,64,64,0
32160,note_on,0,0,2,,,,,,,,,,,,45,64,0
