tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,program,channel,note,velocity,control,value
4889,note_off,,29,0,1,,,,,,0,58,64,,
4918,note_off,,29,0,1,,,,,,0,74,64,,
4918,note_off,,0,0,1,,,,,,0,64,64,,
4918,note_off,,0,0,1,,,,,,0,67,64,,
4920,note_on,,2,0,1,,,,,,0,65,78,,
4920,note_on,,0,0,1,,,,,,0,69,78,,
4920,note_on,,0,0,1,,,,,,0,74,78,,
4920,note_on,,0,0,1,,,,,,0,45,78,,
4949,note_off,,29,0,1,,,,,,0,45,64,,
4980,note_on,,31,0,1,,,,,,0,57,82,,
5009,note_off,,29,0,1,,,,,,0,57,64,,
5038,note_off,,0,0,1,,,,,,0,69,64,,
5038,note_off,,0,0,1,,,,,,0,65,64,,
5038,note_off,,29,0,1,,,,,,0,74,64,,
5040,note_on,,0,0,1,,,,,,0,43,85,,
5040,note_on,,0,0,1,,,,,,0,64,85,,
5040,note_on,,2,0,1,,,,,,0,70,85,,
5040,note_on,,0,0,1,,,,,,0,74,85,,
5069,note_off,,29,0,1,,,,,,0,43,64,,
5100,note_on,,31,0,1,,,,,,0,55,88,,
5129,note_off,,29,0,1,,,,,,0,55,64,,
5158,note_off,,29,0,1,,,,,,0,74,64,,
5158,note_off,,0,0,1,,,,,,0,64,64,,
5158,note_off,,0,0,1,,,,,,0,70,64,,
5160,note_on,,0,0,1,,,,,,0,74,92,,
5160,note_on,,0,0,1,,,,,,0,44,92,,
5160,note_on,,0,0,1,,,,,,0,71,92,,
5160,note_on,,2,0,1,,,,,,0,65,92,,
5189,note_off,,29,0,1,,,,,,0,44,64,,
5220,note_on,,31,0,1,,,,,,0,56,95,,
5249,note_off,,29,0,1,,,,,,0,56,64,,
5278,note_off,,0,0,1,,,,,,0,71,64,,
5278,note_off,,0,0,1,,,,,,0,65,64,,
5278,note_off,,29,0,1,,,,,,0,74,64,,
5280,note_on,,0,0,1,,,,,,0,45,72,,
5280,note_on,,0,0,1,,,,,,0,74,72,,
5280,note_on,,0,0,1,,,,,,0,69,72,,
5280,note_on,,2,0,1,,,,,,0,65,72,,
5309,note_off,,29,0,1,,,,,,0,45,64,,
5340,note_on,,31,0,1,,,,,,0,57,72,,
5369,note_off,,29,0,1,,,,,,0,57,64,,
5400,note_on,,31,0,1,,,,,,0,56,72,,
5429,note_off,,29,0,1,,,,,,0,56,64,,
5460,note_on,,31,0,1,,,,,,0,57,72,,
5489,note_off,,29,0,1,,,,,,0,57,64,,
5515,note_off,,0,0,1,,,,,,0,65,64,,
5515,note_off,,26,0,1,,,,,,0,74,64,,
5515,note_off,,0,0,1,,,,,,0,69,64,,
5520,note_on,,0,0,1,,,,,,0,73,72,,
5520,note_on,,5,0,1,,,,,,0,64,72,,
5520,note_on,,0,0,1,,,,,,0,45,72,,
5520,note_on,,0,0,1,,,,,,0,69,72,,
5549,note_off,,29,0,1,,,,,,0,45,64,,
5580,note_on,,31,0,1,,,,,,0,57,72,,
5609,note_off,,29,0,1,,,,,,0,57,64,,
5638,note_off,,0,0,1,,,,,,0,64,64,,
5638,note_off,,0,0,1,,,,,,0,69,64,,
5638,note_off,,29,0,1,,,,,,0,73,64,,
5640,note_on,,2,0,1,,,,,,0,43,72,,
5669,note_off,,29,0,1,,,,,,0,43,64,,
5700,note_on,,31,0,1,,,,,,0,55,72,,
5729,note_off,,29,0,1,,,,,,0,55,64,,
5760,note_on,,31,0,1,,,,,,0,65,72,,
5760,note_on,,0,0,1,,,,,,0,57,72,,
5760,note_on,,0,0,1,,,,,,0,60,72,,
5760,note_on,,0,0,1,,,,,,0,41,72,,
5789,note_off,,29,0,1,,,,,,0,41,64,,
5820,note_on,,31,0,1,,,,,,0,53,72,,
5849,note_off,,29,0,1,,,,,,0,53,64,,
5880,note_on,,31,0,1,,,,,,0,48,72,,
5909,note_off,,29,0,1,,,,,,0,48,64,,
5940,note_on,,31,0,1,,,,,,0,53,72,,
5969,note_off,,29,0,1,,,,,,0,53,64,,
5995,note_off,,0,0,1,,,,,,0,65,64,,
5995,note_off,,0,0,1,,,,,,0,60,64,,
5995,note_off,,26,0,1,,,,,,0,57,64,,
6000,note_on,,0,0,1,,,,,,0,40,72,,
6000,note_on,,0,0,1,,,,,,0,67,72,,
6000,note_on,,0,0,1,,,,,,0,60,72,,
6000,note_on,,5,0,1,,,,,,0,72,72,,
6029,note_off,,29,0,1,,,,,,0,40,64,,
6060,note_on,,31,0,1,,,,,,0,52,72,,
6089,note_off,,29,0,1,,,,,,0,52,64,,
6120,note_on,,31,0,1,,,,,,0,48,72,,
6149,note_off,,29,0,1,,,,,,0,48,64,,
6180,note_on,,31,0,1,,,,,,0,52,72,,
6209,note_off,,29,0,1,,,,,,0,52,64,,
6235,note_off,,0,0,1,,,,,,0,67,64,,
6235,note_off,,0,0,1,,,,,,0,72,64,,
6235,note_off,,26,0,1,,,,,,0,60,64,,
6240,note_on,,5,0,1,,,,,,0,41,72,,
6240,note_on,,0,0,1,,,,,,0,60,72,,
6240,note_on,,0,0,1,,,,,,0,65,72,,
6240,note_on,,0,0,1,,,,,,0,70,72,,
6269,note_off,,29,0,1,,,,,,0,41,64,,
6300,note_on,,31,0,1,,,,,,0,53,72,,
6329,note_off,,29,0,1,,,,,,0,53,64,,
6358,note_off,,29,0,1,,,,,,0,70,64,,
6360,note_on,,0,0,1,,,,,,0,48,72,,
6360,note_on,,2,0,1,,,,,,0,69,72,,
6389,note_off,,29,0,1,,,,,,0,48,64,,
6420,note_on,,31,0,1,,,,,,0,53,72,,
6448,note_off,,28,0,1,,,,,,0,69,64,,
6449,note_off,,1,0,1,,,,,,0,53,64,,
6450,note_on,,1,0,1,,,,,,0,68,72,,
6479,note_off,,29,0,1,,,,,,0,68,64,,
6480,note_on,,0,0,1,,,,,,0,69,72,,
6480,note_on,,1,0,1,,,,,,0,41,72,,
6509,note_off,,29,0,1,,,,,,0,41,64,,
6540,note_on,,31,0,1,,,,,,0,53,72,,
6569,note_off,,29,0,1,,,,,,0,53,64,,
6593,note_off,,24,0,1,,,,,,0,65,64,,
6593,note_off,,0,0,1,,,,,,0,60,64,,
6598,note_off,,5,0,1,,,,,,0,69,64,,
6600,note_on,,0,0,1,,,,,,0,71,72,,
6600,note_on,,0,0,1,,,,,,0,65,72,,
6600,note_on,,0,0,1,,,,,,0,69,72,,
6600,note_on,,2,0,1,,,,,,0,38,72,,
6629,note_off,,29,0,1,,,,,,0,38,64,,
6660,note_on,,31,0,1,,,,,,0,50,72,,
6689,note_off,,29,0,1,,,,,,0,50,64,,
6718,note_off,,0,0,1,,,,,,0,69,64,,
6718,note_off,,0,0,1,,,,,,0,65,64,,
6718,note_off,,29,0,1,,,,,,0,71,64,,
6720,note_on,,0,0,1,,,,,,0,40,72,,
6720,note_on,,0,0,1,,,,,,0,69,72,,
6720,note_on,,2,0,1,,,,,,0,72,72,,
6720,note_on,,0,0,1,,,,,,0,64,72,,
6749,note_off,,29,0,1,,,,,,0,40,64,,
6780,note_on,,31,0,1,,,,,,0,52,75,,
6809,note_off,,29,0,1,,,,,,0,52,64,,
6840,note_on,,31,0,1,,,,,,0,45,78,,
6869,note_off,,29,0,1,,,,,,0,45,64,,
6900,note_on,,31,0,1,,,,,,0,52,82,,
6929,note_off,,29,0,1,,,,,,0,52,64,,
6955,note_off,,0,0,1,,,,,,0,72,64,,
6955,note_off,,0,0,1,,,,,,0,69,64,,
6955,note_off,,26,0,1,,,,,,0,64,64,,
6960,note_on,,0,0,1,,,,,,0,40,85,,
6960,note_on,,0,0,1,,,,,,0,64,85,,
6960,note_on,,5,0,1,,,,,,0,62,85,,
6960,note_on,,0,0,1,,,,,,0,68,85,,
6989,note_off,,29,0,1,,,,,,0,40,64,,
7020,note_on,,31,0,1,,,,,,0,52,88,,
7049,note_off,,29,0,1,,,,,,0,52,64,,
7080,note_on,,31,0,1,,,,,,0,47,92,,
7109,note_off,,29,0,1,,,,,,0,47,64,,
7140,note_on,,31,0,1,,,,,,0,52,95,,
7169,note_off,,29,0,1,,,,,,0,52,64,,
7195,note_off,,0,0,1,,,,,,0,64,64,,
7195,note_off,,0,0,1,,,,,,0,62,64,,
7195,note_off,,26,0,1,,,,,,0,68,64,,
7200,note_on,,5,0,1,,,,,,0,60,72,,
7200,note_on,,0,0,1,,,,,,0,69,72,,
7200,note_on,,0,0,1,,,,,,0,64,72,,
7200,note_on,,0,0,1,,,,,,0,33,72,,
7259,note_off,,59,0,1,,,,,,0,33,64,,
7259,note_off,,0,0,1,,,,,,0,69,64,,
7259,note_off,,0,0,1,,,,,,0,60,64,,
7259,note_off,,0,0,1,,,,,,0,64,64,,
7260,note_on,,1,0,1,,,,,,0,45,72,,
7319,note_off,,59,0,1,,,,,,0,45,64,,
7320,control_change,,0,0,1,,,,,,0,,,64,127
7320,note_on,,1,0,1,,,,,,0,58,75,,
7320,note_on,,0,0,1,,,,,,0,34,75,,
7379,note_off,,59,0,1,,,,,,0,34,64,,
7380,note_on,,1,0,1,,,,,,0,46,78,,
7438,note_off,,58,0,1,,,,,,0,58,64,,
7439,note_off,,1,0,1,,,,,,0,46,64,,
7440,control_change,,1,0,1,,,,,,0,,,64,0
7440,note_on,,0,0,1,,,,,,0,57,82,,
7440,note_on,,0,0,1,,,,,,0,33,82,,
7499,note_off,,59,0,1,,,,,,0,33,64,,
7500,note_on,,1,0,1,,,,,,0,45,85,,
7558,note_off,,58,0,1,,,,,,0,57,64,,
7559,note_off,,1,0,1,,,,,,0,45,64,,
7560,control_change,,1,0,1,,,,,,0,,,64,127
7560,control_change,,0,0,1,,,,,,0,,,64,127
7560,control_change,,0,0,1,,,,,,0,,,64,0
7560,note_on,,0,0,1,,,,,,0,56,88,,
7560,note_on,,0,0,1,,,,,,0,32,88,,
7619,note_off,,59,0,1,,,,,,0,32,64,,
7620,note_on,,1,0,1,,,,,,0,44,92,,
7678,note_off,,58,0,1,,,,,,0,56,64,,
7679,note_off,,1,0,1,,,,,,0,44,64,,
7680,note_on,,0,0,1,,,,,,0,45,72,,
7680,note_on,,0,0,1,,,,,,0,76,72,,
7680,note_on,,0,0,1,,,,,,0,33,72,,
7680,note_on,,0,0,1,,,,,,0,73,72,,
7680,control_change,,1,0,1,,,,,,0,,,64,127
7739,note_off,,59,0,1,,,,,,0,45,64,,
