tick,type,tempo,time,meta,track,program,channel,note,velocity,control,value
30955,note_off,,0,0,1,,0,73,64,,
30960,note_on,,5,0,1,,0,47,112,,
31200,note_on,,0,0,1,,0,74,121,,
31200,note_on,,240,0,1,,0,78,121,,
31435,note_off,,235,0,1,,0,74,64,,
31435,note_off,,0,0,1,,0,78,64,,
31440,note_on,,0,0,1,,0,78,124,,
31440,note_on,,5,0,1,,0,74,124,,
31666,note_off,,226,0,1,,0,47,64,,
31675,note_off,,9,0,1,,0,78,64,,
31675,note_off,,0,0,1,,0,74,64,,
31680,note_on,,5,0,1,,0,59,126,,
31920,note_on,,240,0,1,,0,74,120,,
31920,set_tempo,180180,3840,1,0,,,,,,
31920,note_on,,0,0,1,,0,79,120,,
32155,note_off,,0,0,1,,0,74,64,,
32155,note_off,,235,0,1,,0,79,64,,
32160,note_on,,5,0,1,,0,74,113,,
32160,note_on,,0,0,1,,0,79,113,,
32160,set_tempo,189274,240,1,0,,,,,,
32386,note_off,,226,0,1,,0,59,64,,
32395,note_off,,9,0,1,,0,79,64,,
32395,note_off,,0,0,1,,0,74,64,,
32400,set_tempo,200000,240,1,0,,,,,,
32400,note_on,,5,0,1,,0,60,106,,
32640,note_on,,0,0,1,,0,79,99,,
32640,note_on,,240,0,1,,0,75,99,,
32640,set_tempo,212014,240,1,0,,,,,,
32758,note_off,,0,0,1,,0,75,64,,
32758,note_off,,118,0,1,,0,79,64,,
32880,note_on,,122,0,1,,0,79,93,,
32880,note_on,,0,0,1,,0,75,93,,
32880,set_tempo,224719,240,1,0,,,,,,
32998,note_off,,118,0,1,,0,75,64,,
32998,note_off,,0,0,1,,0,79,64,,
33106,note_off,,108,0,1,,0,60,64,,
33120,note_on,,14,0,1,,0,61,72,,
33120,set_tempo,400000,240,1,0,,,,,,
33360,note_on,,240,0,1,,0,69,72,,
33360,note_on,,0,0,1,,0,76,72,,
33360,note_on,,0,0,1,,0,79,72,,
33840,set_tempo,600000,720,1,0,,,,,,
34546,note_off,,0,0,1,,0,61,64,,
34546,note_off,,0,0,1,,0,79,64,,
34546,note_off,,0,0,1,,0,76,64,,
34546,note_off,,1186,0,1,,0,69,64,,
34560,note_on,,0,0,1,,0,78,72,,
34560,note_on,,14,0,1,,0,74,72,,
34560,set_tempo,171429,720,1,0,,,,,,
35266,note_off,,706,0,1,,0,78,64,,
35266,note_off,,0,0,1,,0,74,64,,
35280,note_on,,14,0,1,,0,66,72,,
35280,note_on,,0,0,1,,0,62,72,,
35986,note_off,,706,0,1,,0,62,64,,
35986,note_off,,0,0,1,,0,66,64,,
36000,note_on,,0,0,1,,0,54,72,,
36000,note_on,,14,0,1,,0,50,72,,
36706,note_off,,706,0,1,,0,54,64,,
36706,note_off,,0,0,1,,0,50,64,,
36720,note_on,,14,0,1,,0,42,72,,
36720,note_on,,0,0,1,,0,38,72,,
37426,note_off,,706,0,1,,0,38,64,,
37426,note_off,,0,0,1,,0,42,64,,
37440,note_on,,0,0,1,,0,69,72,,
37440,note_on,,14,0,1,,0,50,72,,
37440,note_on,,0,0,1,,0,54,72,,
37558,note_off,,118,0,1,,0,69,64,,
37558,note_off,,0,0,1,,0,54,64,,
37558,note_off,,0,0,1,,0,50,64,,
37560,note_on,,2,0,1,,0,66,72,,
37678,note_off,,118,0,1,,0,66,64,,
37680,note_on,,2,0,1,,0,54,72,,
37680,note_on,,0,0,1,,0,50,72,,
37680,note_on,,0,0,1,,0,62,72,,
37798,note_off,,118,0,1,,0,62,64,,
37798,note_off,,0,0,1,,0,50,64,,
37798,note_off,,0,0,1,,0,54,64,,
38160,note_on,,0,0,1,,0,52,72,,
38160,note_on,,362,0,1,,0,43,72,,
38160,note_on,,0,0,1,,0,47,72,,
38160,note_on,,0,0,1,,0,71,72,,
38278,note_off,,0,0,1,,0,47,64,,
38278,note_off,,118,0,1,,0,71,64,,
38278,note_off,,0,0,1,,0,43,64,,
38278,note_off,,0,0,1,,0,52,64,,
38280,note_on,,2,0,1,,0,67,72,,
38398,note_off,,118,0,1,,0,67,64,,
38400,note_on,,2,0,1,,0,47,72,,
38400,note_on,,0,0,1,,0,52,72,,
38400,note_on,,0,0,1,,0,43,72,,
38400,note_on,,0,0,1,,0,64,72,,
38518,note_off,,118,0,1,,0,64,64,,
38518,note_off,,0,0,1,,0,43,64,,
38518,note_off,,0,0,1,,0,52,64,,
38518,note_off,,0,0,1,,0,47,64,,
38880,note_on,,362,0,1,,0,45,72,,
38880,note_on,,0,0,1,,0,52,72,,
38880,note_on,,0,0,1,,0,55,72,,
38880,note_on,,0,0,1,,0,67,72,,
38998,note_off,,0,0,1,,0,55,64,,
38998,note_off,,0,0,1,,0,52,64,,
38998,note_off,,0,0,1,,0,45,64,,
38998,note_off,,118,0,1,,0,67,64,,
39000,note_on,,2,0,1,,0,64,72,,
39118,note_off,,118,0,1,,0,64,64,,
39120,note_on,,2,0,1,,0,52,72,,
39120,note_on,,0,0,1,,0,55,72,,
39120,note_on,,0,0,1,,0,45,72,,
39120,note_on,,0,0,1,,0,61,72,,
39238,note_off,,118,0,1,,0,61,64,,
39238,note_off,,0,0,1,,0,45,64,,
39238,note_off,,0,0,1,,0,55,64,,
39238,note_off,,0,0,1,,0,52,64,,
39600,note_on,,362,0,1,,0,50,72,,
39600,note_on,,0,0,1,,0,62,72,,
39600,note_on,,0,0,1,,0,54,72,,
39718,note_off,,118,0,1,,0,62,64,,
39718,note_off,,0,0,1,,0,50,64,,
39718,note_off,,0,0,1,,0,54,64,,
39840,note_on,,122,0,1,,0,50,72,,
39840,note_on,,0,0,1,,0,54,72,,
39840,note_on,,0,0,1,,0,62,72,,
39958,note_off,,118,0,1,,0,62,64,,
39958,note_off,,0,0,1,,0,54,64,,
39958,note_off,,0,0,1,,0,50,64,,
40320,note_on,,0,0,1,,0,86,120,,
40320,control_change,,362,0,1,,0,,,64,127
40320,note_on,,0,0,1,,0,81,120,,
40320,note_on,,0,0,1,,0,78,120,,
41026,note_off,,706,0,1,,0,78,64,,
