tick,type,key,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,program,channel,note,velocity
4032,note_on,,0,0,2,,,,,,,0,69,72
4032,note_on,,0,0,4,,,,,,,0,50,88
4032,note_on,,96,0,1,,,,,,,0,79,0
4128,note_on,,96,0,4,,,,,,,0,50,0
4128,note_on,,0,0,4,,,,,,,0,52,88
4128,note_on,,96,0,2,,,,,,,0,69,0
4128,note_on,,0,0,2,,,,,,,0,67,72
4128,note_on,,96,0,1,,,,,,,0,77,0
4128,note_on,,0,0,1,,,,,,,0,76,72
4224,note_on,,96,0,2,,,,,,,0,67,0
4224,note_on,,0,0,2,,,,,,,0,67,72
4224,note_on,,96,0,4,,,,,,,0,52,0
4224,note_on,,96,0,1,,,,,,,0,76,0
4224,note_on,,0,0,1,,,,,,,0,81,72
4320,note_on,,96,0,2,,,,,,,0,67,0
4320,note_on,,0,0,2,,,,,,,0,65,72
4320,note_on,,0,0,1,,,,,,,0,74,72
4320,note_on,,96,0,4,,,,,,,0,53,88
4320,note_on,,96,0,1,,,,,,,0,81,0
4368,note_on,,48,0,4,,,,,,,0,53,0
4368,note_on,,0,0,4,,,,,,,0,55,88
4416,note_on,,0,0,4,,,,,,,0,53,88
4416,note_on,,96,0,1,,,,,,,0,74,0
4416,note_on,,0,0,1,,,,,,,0,71,72
4416,note_on,,0,0,2,,,,,,,0,62,72
4416,note_on,,96,0,2,,,,,,,0,65,0
4416,note_on,,48,0,4,,,,,,,0,55,0
4512,note_on,,0,0,2,,,,,,,0,67,72
4512,note_on,,96,0,2,,,,,,,0,62,0
4512,note_on,,0,0,4,,,,,,,0,52,88
4512,note_on,,96,0,4,,,,,,,0,53,0
4512,note_on,,96,0,1,,,,,,,0,71,0
4512,note_on,,0,0,1,,,,,,,0,73,72
4608,note_on,,0,0,4,,,,,,,0,50,88
4608,note_on,,96,0,2,,,,,,,0,67,0
4608,note_on,,96,0,1,,,,,,,0,73,0
4608,note_on,,0,0,1,,,,,,,0,74,72
4608,note_on,,96,0,4,,,,,,,0,52,0
4608,note_on,,0,0,2,,,,,,,0,67,72
4704,note_on,,96,0,2,,,,,,,0,67,0
4704,note_on,,4704,0,3,,,,,,,0,57,88
4704,note_on,,0,0,2,,,,,,,0,65,72
4800,note_on,,192,0,4,,,,,,,0,50,0
4800,note_on,,96,0,3,,,,,,,0,57,0
4800,note_on,,0,0,1,,,,,,,0,72,72
4800,note_on,,192,0,1,,,,,,,0,74,0
4800,note_on,,0,0,2,,,,,,,0,64,72
4800,note_on,,0,0,3,,,,,,,0,64,88
