tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,note,velocity
4790,note_on,,,,,0,0,1,,,,,0,66,0
4790,note_on,,,,,0,0,1,,,,,0,69,0
4805,note_on,,,,,15,0,1,,,,,0,69,64
4805,note_on,,,,,0,0,1,,,,,0,59,64
4805,note_on,,,,,0,0,1,,,,,0,52,64
4910,note_on,,,,,105,0,1,,,,,0,69,0
4925,note_on,,,,,15,0,1,,,,,0,68,64
4970,note_on,,,,,0,0,1,,,,,0,59,0
4970,note_on,,,,,45,0,1,,,,,0,52,0
4985,note_on,,,,,0,0,1,,,,,0,51,64
4985,note_on,,,,,15,0,1,,,,,0,61,64
5011,note_on,,,,,26,0,1,,,,,0,51,0
5015,note_on,,,,,4,0,1,,,,,0,49,64
5030,note_on,,,,,15,0,1,,,,,0,68,0
5037,note_on,,,,,7,0,1,,,,,0,61,0
5041,note_on,,,,,4,0,1,,,,,0,49,0
5045,note_on,,,,,0,0,1,,,,,0,47,64
5045,note_on,,,,,4,0,1,,,,,0,63,64
5097,note_on,,,,,52,0,1,,,,,0,47,0
5105,note_on,,,,,8,0,1,,,,,0,46,64
5150,note_on,,,,,45,0,1,,,,,0,63,0
5157,note_on,,,,,7,0,1,,,,,0,46,0
5165,note_on,,,,,8,0,1,,,,,0,68,64
5165,note_on,,,,,0,0,1,,,,,0,65,64
5165,note_on,,,,,0,0,1,,,,,0,47,64
5217,note_on,,,,,0,0,1,,,,,0,68,0
5217,note_on,,,,,52,0,1,,,,,0,47,0
5225,note_on,,,,,8,0,1,,,,,0,70,64
5225,note_on,,,,,0,0,1,,,,,0,49,64
5270,note_on,,,,,45,0,1,,,,,0,65,0
5277,note_on,,,,,0,0,1,,,,,0,70,0
5277,note_on,,,,,7,0,1,,,,,0,49,0
5285,note_on,,,,,0,0,1,,,,,0,51,64
5285,note_on,,,,,8,0,1,,,,,0,71,64
5285,note_on,,,,,0,0,1,,,,,0,66,64
5337,note_on,,,,,52,0,1,,,,,0,51,0
5345,note_on,,,,,8,0,1,,,,,0,53,64
5390,note_on,,,,,45,0,1,,,,,0,66,0
5390,note_on,,,,,0,0,1,,,,,0,71,0
5397,note_on,,,,,7,0,1,,,,,0,53,0
5405,note_on,,,,,0,0,1,,,,,0,59,64
5405,note_on,,,,,8,0,1,,,,,0,63,64
5405,note_on,,,,,0,0,1,,,,,0,54,64
5457,note_on,,,,,52,0,1,,,,,0,54,0
5465,note_on,,,,,8,0,1,,,,,0,51,64
5510,note_on,,,,,45,0,1,,,,,0,63,0
5517,note_on,,,,,7,0,1,,,,,0,51,0
5525,note_on,,,,,8,0,1,,,,,0,65,64
5525,note_on,,,,,0,0,1,,,,,0,56,64
5630,note_on,,,,,0,0,1,,,,,0,59,0
5630,note_on,,,,,105,0,1,,,,,0,56,0
5645,note_on,,,,,15,0,1,,,,,0,58,64
5645,note_on,,,,,0,0,1,,,,,0,47,64
5697,note_on,,,,,52,0,1,,,,,0,58,0
5705,note_on,,,,,8,0,1,,,,,0,56,64
5750,note_on,,,,,0,0,1,,,,,0,65,0
5750,note_on,,,,,45,0,1,,,,,0,47,0
5757,note_on,,,,,7,0,1,,,,,0,56,0
5765,note_on,,,,,0,0,1,,,,,0,47,64
5765,note_on,,,,,0,0,1,,,,,0,54,64
5765,note_on,,,,,8,0,1,,,,,0,66,64
5817,note_on,,,,,52,0,1,,,,,0,66,0
5825,note_on,,,,,8,0,1,,,,,0,65,64
5870,note_on,,,,,45,0,1,,,,,0,47,0
5877,note_on,,,,,7,0,1,,,,,0,65,0
5885,note_on,,,,,0,0,1,,,,,0,46,64
5885,note_on,,,,,8,0,1,,,,,0,66,64
5937,note_on,,,,,0,0,1,,,,,0,66,0
5937,note_on,,,,,52,0,1,,,,,0,46,0
5945,note_on,,,,,0,0,1,,,,,0,44,64
5945,note_on,,,,,8,0,1,,,,,0,68,64
5990,note_on,,,,,45,0,1,,,,,0,54,0
5997,note_on,,,,,7,0,1,,,,,0,44,0
5997,note_on,,,,,0,0,1,,,,,0,68,0
6005,note_on,,,,,0,0,1,,,,,0,42,64
6005,note_on,,,,,8,0,1,,,,,0,70,64
6057,note_on,,,,,52,0,1,,,,,0,70,0
6065,note_on,,,,,8,0,1,,,,,0,68,64
6110,note_on,,,,,45,0,1,,,,,0,42,0
6117,note_on,,,,,7,0,1,,,,,0,68,0
6125,note_on,,,,,0,0,1,,,,,0,54,64
6125,note_on,,,,,0,0,1,,,,,0,61,64
6125,note_on,,,,,8,0,1,,,,,0,70,64
6177,note_on,,,,,52,0,1,,,,,0,70,0
6185,note_on,,,,,8,0,1,,,,,0,66,64
6230,note_on,,,,,45,0,1,,,,,0,61,0
6237,note_on,,,,,7,0,1,,,,,0,66,0
6245,note_on,,,,,0,0,1,,,,,0,60,64
6245,note_on,,,,,8,0,1,,,,,0,63,64
6350,note_on,,,,,0,0,1,,,,,0,54,0
6350,note_on,,,,,105,0,1,,,,,0,63,0
6365,note_on,,,,,15,0,1,,,,,0,68,64
6365,note_on,,,,,0,0,1,,,,,0,53,64
6417,note_on,,,,,52,0,1,,,,,0,53,0
6425,note_on,,,,,8,0,1,,,,,0,51,64
6470,note_on,,,,,45,0,1,,,,,0,60,0
6477,note_on,,,,,7,0,1,,,,,0,51,0
6485,note_on,,,,,8,0,1,,,,,0,62,64
6485,note_on,,,,,0,0,1,,,,,0,53,64
6537,note_on,,,,,52,0,1,,,,,0,68,0
6545,note_on,,,,,8,0,1,,,,,0,66,64
6590,note_on,,,,,45,0,1,,,,,0,53,0
6597,note_on,,,,,7,0,1,,,,,0,66,0
6605,note_on,,,,,8,0,1,,,,,0,68,64
6605,note_on,,,,,0,0,1,,,,,0,46,64
6657,note_on,,,,,52,0,1,,,,,0,68,0
6665,note_on,,,,,8,0,1,,,,,0,65,64
6710,note_on,,,,,0,0,1,,,,,0,62,0
6710,note_on,,,,,45,0,1,,,,,0,46,0
6717,note_on,,,,,7,0,1,,,,,0,65,0
6725,note_on,,,,,0,0,1,,,,,0,39,64
6725,note_on,,,,,8,0,1,,,,,0,66,64
6725,note_on,,,,,0,0,1,,,,,0,63,64
6777,note_on,,,,,52,0,1,,,,,0,66,0
6785,note_on,,,,,8,0,1,,,,,0,70,64
6830,note_on,,,,,45,0,1,,,,,0,39,0
6837,note_on,,,,,7,0,1,,,,,0,70,0
6845,note_on,,,,,8,0,1,,,,,0,72,64
6845,note_on,,,,,0,0,1,,,,,0,51,64
6897,note_on,,,,,52,0,1,,,,,0,72,0
6905,note_on,,,,,8,0,1,,,,,0,74,64
6950,note_on,,,,,45,0,1,,,,,0,63,0
6957,note_on,,,,,7,0,1,,,,,0,74,0
6965,note_on,,,,,8,0,1,,,,,0,75,64
