tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,number,port,control,value,channel,program,note,velocity,frame_rate,hours,minutes,seconds,frames,sub_frames
3708,note_on,108,0,8,,,,,,,,,,,6,,71,0,,,,,,
3720,note_on,12,0,4,,,,,,,,,,,3,,69,100,,,,,,
3720,note_on,12,0,8,,,,,,,,,,,6,,69,100,,,,,,
3792,note_on,432,0,5,,,,,,,,,,,4,,59,0,,,,,,
3792,note_on,432,0,9,,,,,,,,,,,7,,66,0,,,,,,
3792,note_on,432,0,11,,,,,,,,,,,10,,59,0,,,,,,
3816,note_on,216,0,3,,,,,,,,,,,2,,63,0,,,,,,
3816,note_on,96,0,8,,,,,,,,,,,6,,63,0,,,,,,
3828,note_on,108,0,4,,,,,,,,,,,3,,69,0,,,,,,
3828,note_on,12,0,8,,,,,,,,,,,6,,69,0,,,,,,
3840,note_on,3840,0,1,,,,,,,,,,,0,,76,100,,,,,,
3840,note_on,24,0,3,,,,,,,,,,,2,,64,100,,,,,,
3840,note_on,3840,0,2,,,,,,,,,,,1,,76,100,,,,,,
3840,note_on,48,0,5,,,,,,,,,,,4,,52,100,,,,,,
3840,note_on,12,0,8,,,,,,,,,,,6,,67,100,,,,,,
3840,note_on,12,0,4,,,,,,,,,,,3,,67,100,,,,,,
3840,note_on,0,0,11,,,,,,,,,,,10,,52,100,,,,,,
3840,note_on,48,0,11,,,,,,,,,,,10,,64,100,,,,,,
3948,note_on,108,0,11,,,,,,,,,,,10,,64,0,,,,,,
3960,note_on,12,0,11,,,,,,,,,,,10,,59,100,,,,,,
4056,note_on,216,0,4,,,,,,,,,,,3,,67,0,,,,,,
4056,note_on,216,0,1,,,,,,,,,,,0,,76,0,,,,,,
4056,note_on,216,0,3,,,,,,,,,,,2,,64,0,,,,,,
4056,note_on,216,0,2,,,,,,,,,,,1,,76,0,,,,,,
4056,note_on,216,0,8,,,,,,,,,,,6,,67,0,,,,,,
4068,note_on,108,0,11,,,,,,,,,,,10,,59,0,,,,,,
4080,note_on,24,0,4,,,,,,,,,,,3,,66,100,,,,,,
4080,note_on,24,0,1,,,,,,,,,,,0,,84,100,,,,,,
4080,note_on,24,0,8,,,,,,,,,,,6,,66,100,,,,,,
4080,note_on,12,0,11,,,,,,,,,,,10,,57,100,,,,,,
4080,note_on,24,0,2,,,,,,,,,,,1,,84,100,,,,,,
4188,note_on,108,0,4,,,,,,,,,,,3,,66,0,,,,,,
4188,note_on,108,0,8,,,,,,,,,,,6,,66,0,,,,,,
4188,note_on,108,0,11,,,,,,,,,,,10,,57,0,,,,,,
4200,note_on,12,0,4,,,,,,,,,,,3,,64,100,,,,,,
4200,note_on,12,0,8,,,,,,,,,,,6,,64,100,,,,,,
4200,note_on,12,0,11,,,,,,,,,,,10,,55,100,,,,,,
4272,note_on,72,0,11,,,,,,,,,,,10,,52,0,,,,,,
4272,note_on,432,0,5,,,,,,,,,,,4,,52,0,,,,,,
4296,note_on,216,0,1,,,,,,,,,,,0,,84,0,,,,,,
4296,note_on,216,0,2,,,,,,,,,,,1,,84,0,,,,,,
4308,note_on,108,0,4,,,,,,,,,,,3,,64,0,,,,,,
4308,note_on,108,0,8,,,,,,,,,,,6,,64,0,,,,,,
4308,note_on,36,0,11,,,,,,,,,,,10,,55,0,,,,,,
4320,note_on,12,0,11,,,,,,,,,,,10,,54,100,,,,,,
4320,note_on,12,0,4,,,,,,,,,,,3,,66,100,,,,,,
4320,note_on,24,0,1,,,,,,,,,,,0,,83,100,,,,,,
4320,note_on,12,0,8,,,,,,,,,,,6,,66,100,,,,,,
4320,note_on,48,0,5,,,,,,,,,,,4,,51,100,,,,,,
4320,note_on,0,0,11,,,,,,,,,,,10,,51,100,,,,,,
4320,note_on,4320,0,10,,,,,,,,,,,8,,59,100,,,,,,
4320,note_on,24,0,2,,,,,,,,,,,1,,83,100,,,,,,
4536,note_on,216,0,2,,,,,,,,,,,1,,83,0,,,,,,
4536,note_on,216,0,1,,,,,,,,,,,0,,83,0,,,,,,
4560,note_on,24,0,2,,,,,,,,,,,1,,81,100,,,,,,
4560,note_on,24,0,1,,,,,,,,,,,0,,81,100,,,,,,
4752,note_on,432,0,5,,,,,,,,,,,4,,51,0,,,,,,
4752,note_on,0,0,11,,,,,,,,,,,10,,51,0,,,,,,
4752,note_on,432,0,8,,,,,,,,,,,6,,66,0,,,,,,
4752,note_on,432,0,10,,,,,,,,,,,8,,59,0,,,,,,
4752,note_on,432,0,4,,,,,,,,,,,3,,66,0,,,,,,
4752,note_on,432,0,11,,,,,,,,,,,10,,54,0,,,,,,
4776,note_on,216,0,1,,,,,,,,,,,0,,81,0,,,,,,
4776,note_on,216,0,2,,,,,,,,,,,1,,81,0,,,,,,
4800,note_on,24,0,1,,,,,,,,,,,0,,79,100,,,,,,
4800,note_on,48,0,10,,,,,,,,,,,8,,55,100,,,,,,
4800,note_on,0,0,11,,,,,,,,,,,10,,52,100,,,,,,
4800,note_on,48,0,11,,,,,,,,,,,10,,59,100,,,,,,
4800,note_on,48,0,5,,,,,,,,,,,4,,52,100,,,,,,
4800,note_on,24,0,2,,,,,,,,,,,1,,79,100,,,,,,
4800,note_on,48,0,4,,,,,,,,,,,3,,64,100,,,,,,
4800,note_on,48,0,8,,,,,,,,,,,6,,64,100,,,,,,
5016,note_on,216,0,10,,,,,,,,,,,8,,55,0,,,,,,
5016,note_on,216,0,4,,,,,,,,,,,3,,64,0,,,,,,
5016,note_on,216,0,11,,,,,,,,,,,10,,59,0,,,,,,
5016,note_on,0,0,11,,,,,,,,,,,10,,52,0,,,,,,
5016,note_on,216,0,5,,,,,,,,,,,4,,52,0,,,,,,
5016,note_on,216,0,8,,,,,,,,,,,6,,64,0,,,,,,
5040,note_on,24,0,11,,,,,,,,,,,10,,60,100,,,,,,
5040,note_on,984,0,3,,,,,,,,,,,2,,69,100,,,,,,
5040,note_on,24,0,5,,,,,,,,,,,4,,64,100,,,,,,
5040,note_on,24,0,4,,,,,,,,,,,3,,72,100,,,,,,
5040,note_on,5040,0,7,,,,,,,,,,,5,,60,100,,,,,,
5040,note_on,5040,0,6,,,,,,,,,,,5,,48,100,,,,,,
5232,note_on,432,0,2,,,,,,,,,,,1,,79,0,,,,,,
