tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,note,velocity
4200,note_on,0,0,1,,,,,,,,0,68,64
4200,note_on,120,0,2,,,,,,,,1,57,0
4260,note_on,60,0,1,,,,,,,,0,68,0
4260,note_on,0,0,1,,,,,,,,0,66,64
4320,note_on,120,0,2,,,,,,,,1,52,64
4320,note_on,60,0,1,,,,,,,,0,66,0
4320,note_on,0,0,1,,,,,,,,0,68,64
4380,note_on,60,0,1,,,,,,,,0,68,0
4380,note_on,0,0,1,,,,,,,,0,71,64
4440,note_on,60,0,1,,,,,,,,0,71,0
4440,note_on,120,0,2,,,,,,,,1,52,0
4440,note_on,0,0,1,,,,,,,,0,73,64
4500,note_on,60,0,1,,,,,,,,0,73,0
4500,note_on,0,0,1,,,,,,,,0,74,64
4560,note_on,60,0,1,,,,,,,,0,74,0
4560,note_on,0,0,1,,,,,,,,0,64,64
4560,note_on,120,0,2,,,,,,,,1,56,64
4620,note_on,60,0,1,,,,,,,,0,64,0
4620,note_on,0,0,1,,,,,,,,0,74,64
4680,note_on,60,0,1,,,,,,,,0,74,0
4680,note_on,120,0,2,,,,,,,,1,56,0
4680,note_on,0,0,1,,,,,,,,0,73,64
4740,note_on,60,0,1,,,,,,,,0,73,0
4740,note_on,0,0,1,,,,,,,,0,71,64
4800,note_on,60,0,1,,,,,,,,0,71,0
4800,note_on,120,0,2,,,,,,,,1,45,64
4800,note_on,0,0,1,,,,,,,,0,73,64
4860,note_on,60,0,1,,,,,,,,0,73,0
4860,note_on,0,0,1,,,,,,,,0,69,64
4920,note_on,0,0,1,,,,,,,,0,71,64
4920,note_on,120,0,2,,,,,,,,1,45,0
4920,note_on,60,0,1,,,,,,,,0,69,0
4980,note_on,60,0,1,,,,,,,,0,71,0
4980,note_on,0,0,1,,,,,,,,0,73,64
5040,note_on,0,0,1,,,,,,,,0,64,64
5040,note_on,120,0,2,,,,,,,,1,57,64
5040,note_on,60,0,1,,,,,,,,0,73,0
5100,note_on,60,0,1,,,,,,,,0,64,0
5100,note_on,0,0,1,,,,,,,,0,67,64
5160,note_on,0,0,1,,,,,,,,0,66,64
5160,note_on,60,0,1,,,,,,,,0,67,0
5160,note_on,120,0,2,,,,,,,,1,57,0
