tick,type,key,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,note,velocity,channel
8064,note_on,,0,0,4,,,,,,45,72,0
8064,note_on,,96,0,3,,,,,,52,0,0
8064,note_on,,96,0,4,,,,,,46,0,0
8064,note_on,,96,0,2,,,,,,67,0,0
8064,note_on,,0,0,2,,,,,,69,72,0
8064,note_on,,0,0,3,,,,,,53,72,0
8112,note_on,,0,0,4,,,,,,43,72,0
8112,note_on,,48,0,4,,,,,,45,0,0
8160,note_on,,0,0,4,,,,,,41,72,0
8160,note_on,,48,0,4,,,,,,43,0,0
8160,note_on,,96,0,3,,,,,,53,0,0
8160,note_on,,0,0,3,,,,,,55,72,0
8208,note_on,,48,0,4,,,,,,41,0,0
8208,note_on,,0,0,4,,,,,,40,72,0
8256,note_on,,0,0,3,,,,,,57,72,0
8256,note_on,,0,0,1,,,,,,69,88,0
8256,note_on,,0,0,4,,,,,,41,72,0
8256,note_on,,48,0,4,,,,,,40,0,0
8256,note_on,,96,0,3,,,,,,55,0,0
8256,note_on,,192,0,2,,,,,,69,0,0
8256,note_on,,192,0,1,,,,,,72,0,0
8352,note_on,,0,0,3,,,,,,56,72,0
8352,note_on,,96,0,3,,,,,,57,0,0
8352,note_on,,96,0,2,,,,,,71,72,0
8448,note_on,,192,0,4,,,,,,41,0,0
8448,note_on,,0,0,3,,,,,,57,72,0
8448,note_on,,96,0,2,,,,,,71,0,0
8448,note_on,,0,0,2,,,,,,72,72,0
8448,note_on,,96,0,3,,,,,,56,0,0
8544,note_on,,96,0,2,,,,,,72,0,0
8544,note_on,,0,0,2,,,,,,74,72,0
8544,note_on,,96,0,3,,,,,,57,0,0
8544,note_on,,0,0,3,,,,,,59,72,0
8544,note_on,,96,0,4,,,,,,53,72,0
8640,note_on,,0,0,3,,,,,,60,72,0
8640,note_on,,0,0,1,,,,,,68,88,0
8640,note_on,,96,0,3,,,,,,59,0,0
8640,note_on,,384,0,1,,,,,,69,0,0
8640,note_on,,0,0,4,,,,,,52,72,0
8640,note_on,,96,0,4,,,,,,53,0,0
8640,note_on,,96,0,2,,,,,,74,0,0
8640,note_on,,0,0,2,,,,,,76,72,0
8688,note_on,,0,0,4,,,,,,50,72,0
8688,note_on,,48,0,4,,,,,,52,0,0
8736,note_on,,0,0,3,,,,,,62,72,0
8736,note_on,,96,0,3,,,,,,60,0,0
8736,note_on,,0,0,2,,,,,,74,72,0
8736,note_on,,96,0,2,,,,,,76,0,0
8736,note_on,,0,0,4,,,,,,48,72,0
8736,note_on,,48,0,4,,,,,,50,0,0
8784,note_on,,0,0,4,,,,,,47,72,0
8784,note_on,,48,0,4,,,,,,48,0,0
8832,note_on,,96,0,2,,,,,,74,0,0
8832,note_on,,0,0,2,,,,,,72,72,0
8832,note_on,,96,0,3,,,,,,62,0,0
8832,note_on,,0,0,3,,,,,,64,72,0
8832,note_on,,48,0,4,,,,,,47,0,0
8832,note_on,,0,0,4,,,,,,48,72,0
8832,note_on,,0,0,1,,,,,,69,88,0
8832,note_on,,192,0,1,,,,,,68,0,0
