tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,pitch,note,velocity
209040,note_off,240,0,4,,,,,,,,,4,,,55,0
209280,note_on,0,0,3,,,,,,,,,3,,,59,51
209280,note_off,240,0,3,,,,,,,,,3,,,62,0
209520,note_on,0,0,3,,,,,,,,,3,,,62,52
209520,note_off,240,0,3,,,,,,,,,3,,,59,0
209520,note_off,720,0,1,,,,,,,,,1,,,74,0
209520,note_on,0,0,1,,,,,,,,,1,,,76,52
209640,note_off,120,0,1,,,,,,,,,1,,,76,0
209640,note_on,0,0,1,,,,,,,,,1,,,78,52
209700,control_change,660,0,4,,,,,,,64,0,4,,,,
209700,control_change,180,0,3,,,,,,,64,0,3,,,,
209760,control_change,60,0,3,,,,,,,64,127,3,,,,
209760,note_off,120,0,1,,,,,,,,,1,,,78,0
209760,note_off,0,0,3,,,,,,,,,3,,,62,0
209760,note_on,0,0,4,,,,,,,,,4,,,55,52
209760,control_change,60,0,4,,,,,,,64,127,4,,,,
209760,note_on,0,0,1,,,,,,,,,1,,,79,52
209880,note_on,0,0,1,,,,,,,,,1,,,81,53
209880,note_off,120,0,1,,,,,,,,,1,,,79,0
210000,note_off,240,0,4,,,,,,,,,4,,,55,0
210000,note_on,240,0,3,,,,,,,,,3,,,62,53
210000,note_on,0,0,1,,,,,,,,,1,,,83,53
210000,note_off,120,0,1,,,,,,,,,1,,,81,0
210120,note_on,0,0,1,,,,,,,,,1,,,78,53
210120,note_off,120,0,1,,,,,,,,,1,,,83,0
210240,note_on,0,0,3,,,,,,,,,3,,,59,54
210240,note_off,240,0,3,,,,,,,,,3,,,62,0
210240,note_on,0,0,1,,,,,,,,,1,,,79,54
